des_id,element,document,satisfies
DES-038,Licence resolver L1/L2/L3,LICENSING.md#1,REQ-056;REQ-060;DOM-007
DES-039,"Rights engine (4 concepts, explicit unknown)",LICENSING.md#2,REQ-058;REQ-059;REQ-062;DOM-008;NFR-006
DES-040,SPDX normaliser,LICENSING.md#3,REQ-057
DES-041,Attribution write-time invariant,PROVENANCE.md#3,REQ-039;REQ-061;DOM-009;NFR-004;NFR-025
DES-042,Author correction/removal path,LICENSING.md#7,REQ-063
DES-043,Deterministic security signal extractor,SECURITY.md#3,REQ-075;REQ-076
DES-044,Findings-projection score model,SECURITY.md#4,REQ-077;REQ-078;REQ-079;REQ-081
DES-045,"Input hardening (size, YAML, UTF-8)",SECURITY.md#2,REQ-080;NFR-021;NFR-022
DES-046,Secret management + output assertions,SECURITY.md#2,REQ-071;REQ-086;NFR-019;NFR-020
DES-047,Observability counters,OBSERVABILITY.md#1,REQ-082;REQ-083;REQ-087
DES-048,Run report with sampling-bias disclosure,OBSERVABILITY.md#4,REQ-085;REQ-013
DES-049,Structured logging (UTC),OBSERVABILITY.md#5,REQ-086;NFR-038
DES-050,API router /api/v1,API.md#1,REQ-064;REQ-065;REQ-066;REQ-067;REQ-068;REQ-069;REQ-073;REQ-074
DES-051,Response envelope + attribution + fact/inference split,API.md#2,REQ-070;REQ-061;NFR-012
DES-052,Cursor pagination,API.md#4,REQ-066;REQ-067;NFR-032;NFR-039
DES-053,RateLimiter port,API.md#6,REQ-097
DES-054,Error taxonomy,API.md#7,REQ-071
DES-055,Operator CLI,ROADMAP.md#2,REQ-088;REQ-089;REQ-090;REQ-072
DES-056,Re-analysis engine,INGESTION.md#6,REQ-095;NFR-017
DES-057,Derived index rebuild,DATABASE.md#10,REQ-051;REQ-052;NFR-010
DES-058,Clock port (UTC RFC3339),PROVENANCE.md#5,NFR-038;DOM-011
DES-059,Dependency-direction lint,ARCHITECTURE.md#3,NFR-027;NFR-028;NFR-029
DES-060,Batch runtime host,DATABASE.md#7,REQ-003;NFR-014;NFR-031;DEC-016
DES-061,Edge runtime host,DATABASE.md#7,REQ-064;NFR-013
DES-062,Keyword search index (derived),API.md#1,REQ-069;REQ-051
DES-063,Cache port,DATABASE.md#1,NFR-027;NFR-012
DES-064,Idempotency key scheme,INGESTION.md#2,REQ-016;NFR-001;NFR-008;NFR-009;DOM-001
DES-065,Hash-prefix partitionability,SCALING.md#1,NFR-033;NFR-031
DES-066,Scaling constraint register,SCALING.md#2,NFR-034
DES-067,Batch ladder harness,INGESTION.md#4,REQ-012;NFR-011;NFR-002;NFR-003
DES-068,Zero-AI-spend guard,ARCHITECTURE.md#5,NFR-015
DES-069,"Reference-only message payload (storage key + hash, never content)",QUEUE_MODEL.md#3,REQ-018
DES-070,"Oracle validation harness (dedup_primary / frontmatter_valid, stratified)",TEST_STRATEGY.md#2,REQ-047;REQ-041;NFR-002;NFR-003
DES-071,Offline test harness + recorded connector fixtures,TEST_STRATEGY.md#1,NFR-030
DES-072,"ObjectStore fs adapter (content-addressed, traversal-guarded)",fs-objectstore,REQ-029;REQ-030;REQ-033;NFR-021
DES-073,ObjectStore memory adapter (portability proof),memory-objectstore,REQ-029;NFR-027
DES-074,ObjectStore R2 boundary,r2-objectstore,REQ-029;NFR-029
DES-075,RAW stage: storeRaw / readRaw,ingestion/raw.js,REQ-029;REQ-030;REQ-031;REQ-033
DES-076,RAW->PARSED->CANONICAL pipeline,ingestion/pipeline.js,REQ-029;REQ-031
DES-077,reprocessFromRaw (no source contact),ingestion/pipeline.js,REQ-032;REQ-095
DES-078,Rights-aware retention over real bytes,ingestion/raw.js,REQ-034;REQ-098
DES-079,raw_objects table,sqlite/schema.js v3,REQ-030;REQ-034
DES-080,Derived search_index table,sqlite/schema.js v3,REQ-051;REQ-069
DES-081,rebuildSearchIndex (real rebuild),ingestion/rebuild.js,REQ-052;NFR-010
DES-082,RawAccess purpose guard,ports/index.js,REQ-033
UI-001,CLI + read-only HTTP API; no GUI,INTERFACE.md#1,REQ-088;REQ-089;REQ-090
UI-002,"Destructive-action guards (--confirm, --dry-run)",INTERFACE.md#4,REQ-063;REQ-091;REQ-052
UI-003,Error catalogue with recovery paths,INTERFACE.md#5,REQ-037;REQ-071
UI-004,Run report surfaced to terminal incl. sampling bias,INTERFACE.md#3,REQ-085;REQ-013
UI-005,Progress + latency budget; Ctrl-C safe,INTERFACE.md#7,REQ-010;REQ-083
UI-006,"Accessibility: no colour-only meaning, --json, NO_COLOR",INTERFACE.md#8,REQ-089
UI-007,API response notice + rights.state on the wire,INTERFACE.md#9,REQ-070;REQ-079;REQ-061
UI-008,Source list shows declared access policy,INTERFACE.md#3,REQ-068;REQ-006
UI-009,"API endpoint surface as an interface: versioned paths, stable shapes",INTERFACE.md#9,REQ-064;REQ-065;REQ-069
UI-010,"Cursor pagination UX: opaque cursor, enforced page size, no offset",INTERFACE.md#9,REQ-066;REQ-067
