req_id,requirement,type,priority,design_id,module,test_ids,status
REQ-062,The Phase 1 API shall not serve third-party skill content under any licence condition.,functional,M,DES-039,,TC-150,implemented
REQ-063,"The system shall provide an author-initiated correction/removal path, recording the request, the actor, the disposition and the timestamp. The path exists in Phase 1 even though Phase 1 exposes no content, because removal touches the can...",functional,M,DES-022;DES-042;UI-002,,TC-181;TC-182;TC-185;TC-186;TC-204;TC-231;TC-232;TC-271,implemented
REQ-064,The system shall expose a versioned HTTP API under /api/v1/.,functional,M,DES-050;DES-061;UI-009,,TC-146,implemented
REQ-065,"GET /api/v1/skills/:id shall return one canonical skill with provenance, rights posture and attribution.",functional,M,DES-050;UI-009,,TC-147,implemented
REQ-066,GET /api/v1/skills shall list skills with cursor-based pagination. Offset pagination shall not be used.,functional,M,DES-050;DES-052;UI-010,,,designed
REQ-067,"GET /api/v1/skills/:id/occurrences shall return the occurrences resolving to that canonical skill, cursor-paginated per NFR-039.",functional,M,DES-050;DES-052;UI-010,,TC-154,implemented
REQ-068,GET /api/v1/sources/:id shall return source metadata and its declared access policy.,functional,M,DES-050;UI-008,,TC-155,implemented
REQ-069,GET /api/v1/search shall provide keyword search over canonical metadata.,functional,M,DES-050;DES-062;DES-080;UI-009,sqlite/schema.js v3,TC-156;TC-202,implemented
REQ-070,"API responses shall distinguish source facts from AppMD inferences in their structure, not in prose.",functional,M,DES-051;UI-007,,TC-148,implemented
REQ-071,"The API shall never emit secrets, credentials, internal storage keys or raw content.",functional,M,DES-046;DES-054;UI-003,,TC-161,implemented
REQ-072,A CLI shall consume the same API surface as any future frontend.,functional,S,DES-055,,TC-274,implemented
REQ-073,MCP tool exposure.,functional,F,DES-050,,,designed
REQ-074,"Semantic/hybrid search, capability, graph, resolution and composition endpoints.",functional,F,DES-050,,,designed
REQ-075,"The system shall record deterministic security signals available in Phase 1 without executing content: presence of scripts, allowed-tools declarations, and detectable credential/network/shell patterns.",functional,S,DES-043,,TC-105,implemented
REQ-076,"Security findings shall be stored as AppMD inference, with analyser id, version and timestamp, never as source fact.",functional,M,DES-043,,TC-027,implemented
REQ-077,Any published score shall be accompanied by its findings and their evidence. A bare score shall not be emitable.,functional,M,DES-044,,,designed
REQ-078,"Absence of findings shall be reported as absence of findings, never as ""safe"".",functional,M,DES-044,,,designed
REQ-079,The system shall never represent analysis as certification or a guarantee of safety.,functional,M,DES-044;UI-007,,,designed
REQ-080,"Content shall never be executed, at any stage, for any purpose.",functional,M,DES-045,,TC-280,implemented
REQ-081,Behavioural diffing between versions to detect malicious change.,functional,F,DES-044,,,designed
REQ-082,"The system shall emit counters for: discovered, fetched, failed, parsed, duplicated, stored, dead-lettered.",functional,M,DES-047,,TC-088,implemented
REQ-083,"The system shall report queue depth, processing latency per stage, and per-source error rates.",functional,M,DES-047;UI-005,,TC-261,implemented
REQ-084,Every job's lifecycle shall be queryable by job_id and by skill_ref.,functional,M,DES-012,,TC-048;TC-086;TC-203,implemented
REQ-085,"An ingestion run shall produce a report stating counts, failures, and any sampling bias or truncation applied (DEC-013).",functional,M,DES-048;UI-004,,TC-062,implemented
REQ-086,"Logs shall never contain secrets, credentials or tokens.",functional,M,DES-046;DES-049,,TC-277,implemented
REQ-087,AI processing cost accounting.,functional,F,DES-047,,,designed
REQ-088,"An operator shall trigger discovery, ingestion, reprocessing and index rebuild via CLI without a frontend.",functional,M,DES-055;UI-001,,TC-265,implemented
REQ-089,"An operator shall inspect any skill, occurrence, job or dead-letter entry via CLI.",functional,M,DES-055;UI-001;UI-006,,TC-265;TC-266,implemented
REQ-090,An operator shall re-run the pipeline over stored raw content without source contact.,functional,M,DES-055;UI-001,,TC-269,implemented
REQ-091,"The system shall provide operator commands to back up the canonical store, restore it to a target location, and verify a restore by comparing record count and content-hash digest against the snapshot. Backup and restore shall function wi...",functional,M,DES-035;UI-002,,TC-050;TC-270,implemented
REQ-092,"The system shall classify every retained identity as repository, organisation, or individual author (DOM-013), and shall record, per person-linked field, the provenance purpose that justifies retaining it. A person-linked field with no s...",functional,M,DES-037,,TC-029;TC-248,implemented
REQ-093,The API shall not expose personal information beyond what attribution requires — the public account identifier and the canonical source URL. Fields classified as individual-author identity (REQ-092) shall be omitted from public responses...,functional,M,DES-037,,TC-281,implemented
REQ-094,"Every canonical record shall carry a schema version. The system shall provide a forward migration path that transforms records from an older schema version to the current one without destroying data: migrations shall be re-runnable, shal...",functional,M,DES-033;DES-034,,TC-037;TC-192,implemented
REQ-095,"The system shall support re-analysis: given a change of analyser version, analysis rules, model, or security rules, it shall identify every affected canonical record and enqueue it for reprocessing, without re-contacting any source (REQ-...",functional,M,DES-056;DES-077,ingestion/pipeline.js,TC-188;TC-189;TC-190;TC-191;TC-205;TC-237;TC-272,implemented
REQ-096,"Every web-based connector shall retrieve the source's robots policy where one applies, cache it with a stated freshness, and evaluate each request against it before issuing it. A request that a directive disallows shall not be issued. Co...",functional,M,DES-007,,TC-264,implemented
REQ-097,"The API shall apply configurable rate limiting through a port interface, so limits are policy rather than code. Phase 1 requires a simple configurable abstraction with a working in-process implementation and nothing more (DEC-021); distr...",functional,M,DES-053,,TC-158;TC-159,implemented
REQ-098,"Raw content retention shall be rights-aware and default to non-permanent (DEC-019). The system shall not indefinitely retain full third-party content by default. Where content is required only for processing, the system shall process it,...",functional,M,DES-021;DES-078,ingestion/raw.js,TC-010,implemented
NFR-001,Re-running the full pipeline over an identical input batch shall produce a byte-identical canonical record set. Verified by hashing the canonical output of two independent runs.,non-functional,M,DES-064,,TC-063;TC-121;TC-176;TC-206,implemented
NFR-002,"Exact-duplicate detection shall achieve ≥99.9% agreement with the corpus's dedup_primary on exact-content grouping over a ≥10,000-row sample. This is a quality target, not an automatic gate failure (DEC-023): a shortfall is a finding to ...",non-functional,M,DES-067;DES-070,,,designed
NFR-003,"Parser frontmatter_valid shall agree with the corpus column on ≥99% of a ≥10,000-row sample; every disagreement shall be triaged as a defect in one implementation or the other.",non-functional,M,DES-067;DES-070,,,designed
NFR-004,"100% of canonical records shall carry attribution and canonical source URL. A record lacking either shall be rejected at write time, not filtered at read time.",non-functional,M,DES-041,,TC-025;TC-041;TC-112;TC-144;TC-197,implemented
NFR-005,100% of canonical field values shall be classifiable as source fact or AppMD inference.,non-functional,M,DES-036,,TC-026;TC-145,implemented
NFR-006,0 canonical records shall carry redistributable = true without a recorded L2 licence evidencing it.,non-functional,M,DES-039,,TC-008;TC-042;TC-140;TC-198,implemented
NFR-007,"No single job failure shall cause reprocessing of already-completed work. Verified by injecting failure at row *n* of 10,000 and asserting rows 1..*n*−1 are untouched.",non-functional,M,DES-014,,TC-262,implemented
NFR-008,The pipeline shall resume from its persisted cursor after abrupt termination (SIGKILL) with no duplicate canonical records and no lost jobs.,non-functional,M,DES-064,,TC-263,implemented
NFR-009,Every stage shall be idempotent: executing the same job 10 times shall produce the state of executing it once.,non-functional,M,DES-064,,TC-040;TC-127,implemented
NFR-010,"Canonical data shall be recoverable such that deleting every derived index and rebuilding produces an equivalent index, with no source contact. Where records have been tombstoned (DEC-015), the rebuild is equivalent minus tombstoned reco...",non-functional,M,DES-022;DES-057;DES-081,ingestion/rebuild.js,TC-053;TC-187;TC-234,implemented
NFR-011,"PROVISIONAL TARGET, NOT AN ACCEPTANCE CRITERION (DEC-017). Working figure: a 10,000-occurrence batch end-to-end in ≤30 minutes on the development machine. This number was invented by the analyst with no benchmark behind it. It shall not ...",non-functional,M,DES-067,,,designed
NFR-012,"GET /api/v1/skills/:id shall respond in ≤200 ms at p95 against a 10,000-skill store, measured locally.",non-functional,M,DES-051;DES-063,,TC-163,implemented
NFR-013,"Fetch concurrency shall be configurable per source and shall default to ≤6 simultaneous outgoing connections, matching the Workers ceiling so local behaviour predicts production behaviour (R1 §6.3).",non-functional,M,DES-015;DES-061,,,designed
NFR-014,"Memory use per worker process shall stay ≤128 MB, matching the Workers isolate limit, so no design depends on headroom production will not have.",non-functional,M,DES-060,,,designed
NFR-015,Phase 1 shall complete with zero LLM or embedding API spend. Deterministic processing only.,non-functional,M,DES-068,,TC-286,implemented
NFR-016,No pipeline stage shall require a paid cloud plan to run locally (DEC-010).,non-functional,M,DES-010;DES-018;DES-030,,TC-285,implemented
NFR-017,Every future AI-derived result shall be cached keyed by content hash and analyser version; unchanged content shall never be reprocessed (BRIEF §16).,non-functional,M,DES-056,,TC-290,implemented
NFR-018,Corpus disk use in Phase 1 shall not exceed 1 GB (DEC-011: repos + one artifacts shard).,non-functional,M,DES-004,,TC-287,implemented
NFR-019,"No secret shall appear in source control, logs, raw records, canonical records or API responses. Verified by a secret-scan in CI over the working tree and by assertion tests over log and API output.",non-functional,M,DES-046,,TC-275;TC-277,implemented
NFR-020,"All credentials shall be supplied by environment/secret store, never by literal.",non-functional,M,DES-046,,TC-276,implemented
NFR-021,"Third-party content shall be treated as untrusted input at every stage; no stage shall execute, evaluate or shell out to it.",non-functional,M,DES-045;DES-072,fs-objectstore,TC-165;TC-212;TC-213;TC-280,implemented
NFR-022,"Parsing shall be resistant to malformed, adversarial and oversized input; a 100 MB file, a YAML bomb and invalid UTF-8 shall each fail cleanly with a recorded reason.",non-functional,M,DES-024;DES-045,,TC-100;TC-101;TC-102;TC-103;TC-104,implemented
NFR-023,"The system shall respect every declared source rate limit and Retry-After, verified by a test asserting no request exceeds the declared budget.",non-functional,M,DES-002;DES-015,,TC-137,implemented
NFR-024,"The system shall contain no access-control, rate-limit or bot-detection circumvention (BRIEF §50).",non-functional,M,DES-007,,TC-033;TC-278,implemented
NFR-025,"Attribution shall be preserved through every transformation, from discovery to API response.",non-functional,M,DES-041,,TC-144,implemented
NFR-026,GitSkills CC-BY-4.0 attribution shall appear in the repository and in any output derived from that corpus.,non-functional,M,DES-004,,TC-056,implemented
NFR-027,"Every infrastructure dependency (queue, object store, canonical store, cache, scheduler) shall sit behind a port interface with at least two adapters, one of which requires no cloud account.",non-functional,M,DES-010;DES-017;DES-029;DES-059;DES-063;DES-073,memory-objectstore,TC-253;TC-257;TC-282,implemented
NFR-028,"Business logic shall not import a vendor SDK. Verified by a dependency-direction lint rule, not by review discipline.",non-functional,M,DES-029;DES-059,,TC-090;TC-283,implemented
NFR-029,"Moving from local to Cloudflare shall require configuration and adapter selection only, with no change to pipeline logic.",non-functional,M,DES-011;DES-019;DES-031;DES-059;DES-074,r2-objectstore,TC-283,implemented
NFR-030,Unit tests shall run with no network access.,non-functional,M,DES-071,,TC-284,implemented
NFR-031,No design element shall assume the full dataset fits in memory or in one process.,non-functional,M,DES-060;DES-065,,TC-289,implemented
NFR-032,All traversal shall be cursor-based; no offset pagination anywhere.,non-functional,M,DES-052,,TC-046;TC-164;TC-200,implemented
NFR-033,Canonical identity shall be partitionable by content hash prefix without schema change.,non-functional,M,DES-065,,TC-017,implemented
NFR-034,"The architecture shall document its next binding constraint at 1M, 10M and 100M skills, with the evidence for each (BRIEF §51).",non-functional,M,DES-032;DES-066,,TC-288,implemented
NFR-035,"The canonical store shall be recoverable independently of every derived index and of every external source. Phase 1 targets: RPO ≤ 24 hours (at most one day of ingestion replayable), RTO ≤ 4 hours (restore and verify on the development m...",non-functional,M,DES-035,,TC-050;TC-051,implemented
NFR-036,"Personal information shall be limited to what provenance and attribution require (DOM-013). The system shall not collect email addresses, real names beyond the public account identifier, follower graphs, contribution histories, or any fi...",non-functional,M,DES-037,,TC-251;TC-281,implemented
NFR-037,"Every web-based connector shall fetch and honour the source's robots policy where one applies, together with Crawl-delay and Retry-After, and shall never bypass a restriction. Where a source explicitly authorises API access, the connecto...",non-functional,M,DES-007,,TC-264,implemented
NFR-038,"All system timestamps shall be UTC, machine-readable, and consistently formatted (RFC 3339, e.g. 2026-08-27T13:45:00Z). Local time and naive timestamps shall not appear in any stored record, log line or API response.",non-functional,M,DES-049;DES-058,,TC-011;TC-038;TC-083;TC-120;TC-133,implemented
NFR-039,"Every API collection whose size is not provably bounded shall be cursor-paginated with an enforced maximum page size. This is a structural rule, not a per-endpoint decision: an endpoint returning an unbounded collection shall not be adda...",non-functional,M,DES-052,,TC-046;TC-153,implemented
DOM-001,"A SkillOccurrence is uniquely keyed by (source_id, repo_full_name, path, content_hash). It is an observation, never an identity.",domain,M,DES-027;DES-064,,TC-018,implemented
DOM-002,"A CanonicalSkill is an AppMD-assigned identity to which one or more occurrences resolve. Its id is stable, opaque, and never derived from a mutable attribute (name, URL, star count).",domain,M,DES-027;DES-033,,TC-239,implemented
DOM-003,"Canonical identity derives from origin repository coordinates plus content, never from an aggregator's identifier.",domain,M,DES-003,,TC-240,implemented
DOM-004,Two occurrences are EXACT_DUPLICATE iff their raw content hashes are equal.,domain,M,DES-027,,TC-241,implemented
DOM-005,"Occurrence relationships are drawn from a closed vocabulary: EXACT_DUPLICATE, NEAR_DUPLICATE, FORK, MIRROR, VERSION, RELATED, ALTERNATIVE, UNRELATED. Name equality alone never establishes any of them.",domain,M,DES-028,,TC-242,implemented
DOM-006,"Every field value in a CanonicalSkill is either a source fact (with its source) or an AppMD inference (with producer, version and confidence). There is no third kind and the two are never merged into one field.",domain,M,DES-036,,TC-024;TC-113;TC-118;TC-148;TC-252,implemented
DOM-007,"Licence is three independent layers: L1 dataset/aggregator, L2 repository, L3 frontmatter claim. L3 is a claim, not an authority. Conflicts are recorded, never silently resolved.",domain,M,DES-038,,TC-243,implemented
DOM-008,"Rights posture is computed, never stored as a single inherited flag. It carries the brief's four concepts: indexable, linkable, redistributable, and unknown as an explicit state in its own right — never silently collapsed into all-false ...",domain,M,DES-039,,TC-244,implemented
DOM-009,A Repository is the attribution unit and the L2 licence holder. Attribution is mandatory on every canonical record.,domain,M,DES-041,,TC-245,implemented
DOM-010,Raw content is immutable once stored and addressed by its content hash. Normalisation never mutates raw.,domain,M,DES-020,,TC-246,implemented
DOM-011,"A skill's temporal state (first_commit_at, last_commit_at, discovered_at, last_verified_at) is a first-class attribute; freshness is derived from it, never assumed.",domain,M,DES-058,,TC-247,implemented
DOM-012,"A Source has an access policy — rate limits, permitted methods, ToS constraints — that is data, not code, and is enforced by the runtime.",domain,M,DES-002,,TC-260,implemented
DOM-013,"Identity in the corpus resolves to three distinct classes — repository identity, organisation identity, and individual author identity — which carry different privacy weight and shall not be conflated. Only personal information necessary...",domain,M,DES-037,,TC-028;TC-248,implemented
REQ-099,"Every API response shall carry explicit cache directives, rights-gated, with a strong ETag and If-None-Match support.",functional,M,DES-055,apps/api/src/cache-policy.js,TC-319;TC-320;TC-321;TC-322;TC-323;TC-324;TC-325;TC-326;TC-327;TC-328,implemented
NFR-040,Edge cache lifetime shall not exceed the removal propagation bound (<=300s).,non-functional,M,DES-055,apps/api/src/cache-policy.js,TC-329,implemented
NFR-027,"Ports shall be implementable by adapters of genuinely different shape, including asynchronous ones (CR-008).",non-functional,M,DES-002,packages/ports/src/index.js,TC-194;TC-207;TC-253;TC-330,implemented
REQ-100,"Publish an installable package exposing init, writing exactly one resolver skill.",functional,M,DES-056,packages/skillappmd/src/install.js,TC-331;TC-333;TC-337;TC-338,implemented
REQ-101,init shall not overwrite without --force and shall report the exact path written.,functional,M,DES-056,packages/skillappmd/src/install.js,TC-332;TC-337,implemented
REQ-102,"The resolver skill instructs the agent to fetch content from the origin, never AppMD.",functional,M,DES-056,packages/skillappmd/src/install.js,TC-335,implemented
REQ-103,The resolver skill carries the rights rules: unknown is not permission.,functional,M,DES-056,packages/skillappmd/src/install.js,TC-335,implemented
REQ-104,"The installed skill is a pointer, not a corpus: init downloads nothing.",functional,M,DES-056,packages/skillappmd/src/install.js,TC-334,implemented
REQ-105,The API base is configurable via APPMD_API.,functional,M,DES-056,packages/skillappmd/src/install.js,TC-336,implemented
